,Empresa,Cargo,Local da empresa
0,Dr. Estágio,Estágio Auxiliar de comércio e varejo - João XXIII,Fortaleza - CE
1,IPHAC - Instituto Promover,Estágio em Administração - Terracap,Brasília - DF
2,BRNPAR Empreendimentos Imobiliários,Estágio em Crédito - Araras/SP,Araras - SP
3,Dr. Estágio,Estágio Auxiliar de comércio e varejo - São João do Tauape,Fortaleza - CE
4,Venturoso Valentini,Estágio em Engenharia Mecânica,São Joaqui... - SP
5,STRATA ENGENHARIA, ESTÁGIO EM ENGENHARIA  ,Belo Horiz... - MG
6,Dr. Estágio,Estágio Auxiliar de comércio e varejo - Planalto Ayrton Senna,Fortaleza - CE
7,Dr. Estágio,Estágio Auxiliar de comércio e varejo - José Walter,Fortaleza - CE
8,Positivo Tecnologia,Estágio em Desenvolvimento Mobile ,Curitiba - PR
9,Positivo Tecnologia,Estágio em Desenvolvimento de App,Curitiba - PR
10,BRNPAR Empreendimentos Imobiliários,Estágio SAT. Engenharia - Araras/SP,Araras - SP
11,Rocontec - Rocha Construção e Tecnologia,Estágio em Engenharia Civil,São Paulo - SP
12,Dr. Estágio,Estágio Auxiliar de comércio e varejo - Quintino Cunha ,Fortaleza - CE
13,NSG Group,ESTÁGIO - CALL CENTER ,Sao Jose d... - SP
14,Grupo Bamaq | Paixão pelo que Fazemos,Estágio (Uber) - Contagem,Contagem - MG
15,BRNPAR Empreendimentos Imobiliários,Estágio em Engenharia Civil - Araçatuba,Araçatuba - SP
16,BRNPAR Empreendimentos Imobiliários,Estágio em Engenharia Civil - Penápolis/SP,Penápolis - SP
17,Lojas Renner,Estágio em Marketing Corporativo (Eventos e Patrocínios),Porto Alegre - RS
18,Indústrias Reunidas Raymundo da Fonte, ESTÁGIO TÉCNICO EM QUIMICA,Salvador - BA
19,Agribrasil,"ESTÁGIO EM COMERCIAL/ MESA TRADING - São Paulo, Itaim Bibi",São Paulo - SP
20,Agribrasil,"ESTÁGIO EM COMERCIAL/ MESA TRADING - São Paulo, Itaim Bibi",São Paulo - SP
21,Carreiras,Estágio em Finanças,Barueri - SP
22,Emporium da Beleza,Estagiaria de Estética ,Campinas - SP
23,dtidigital,Estágio em Segurança da Informação (Vaga Híbrida),Belo Horiz... - MG
24,Warren Investimentos, Estágio em Asset Management,Não informado
25,Giant Steps Capital,Estágio em Business Intelligence (Finanças),São Paulo - SP
26,Grupo Positivo,ESTÁGIO PSICOLOGIA ,Ponta Grossa - PR
27,Ad Clinic | Trabalhe conosco,Estagio em Biomedicina - Guarulhos - SP ,São Paulo - SP
28,Arezzo&CO,Estágio - Planejamento,Campo Bom  - RS
29,Grupo Positivo,ESTÁGIO EDUCACIONAL ,Ponta Grossa - PR
30,Lobo de Rizzo Advogados,Pessoa Estagiária | Contencioso ,São Paulo - SP
31,Pluxee Brasil,Estágio em Treinamento e Desenvolvimento ,São Paulo - SP
32,#SejaShopper,Estágio Comercial (Exclusiva para PCD),São Paulo - SP
33,(IFF) Instituto Fernando Filgueiras,Estágio Nível Médio,Salvador - BA
34,#SejaShopper,Estágio Varejo (Exclusiva para PCD),São Paulo - SP
35,Trabalhe na Mills,Estágio Universitário,Chapecó - SC
36,Lobo de Rizzo Advogados,Pessoa Estagiária | Trabalhista,São Paulo - SP
37,#SejaShopper,Estágio Eventos (Exclusiva para PCD),São Paulo - SP
38,#SejaShopper,Estágio/Analista Jr. de Performance (Exclusiva para PCD),Osasco - SP
39,#SejaShopper,Estágio Operações (Exclusiva para PCD),São Paulo - SP
40,Confidencial,Estágio em Marketing (Redator(a)) - São Paulo/SP ,São Paulo - SP
41,Prime Cater,Estágio em Mídia ,São Paulo - SP
42,#SejaShopper,Estágio/Analista Jr. de Processos (Exclusiva para PCD),São Paulo - SP
43,SERHUM RH,Estágio - Contabilidade,São Luís - MA
44,Supera Farma,Estágio em RH (DHO),São Paulo - SP
45,Checklist Fácil ,Estágio em Marketing de Produto (vaga afirmativa pessoas negras),Florianópolis - SC
46,Vem mobilizar sonhos com a gente! ,Estágio em Laboratório de Qualificação,Guarulhos - SP
47,#SejaShopper,Estágio Pós-Vendas (Exclusiva para PCD),São Paulo - SP
48,Rede de Ensino APOGEU,Estágio em Pedagogia | Ubá,Minas Gerais - MG
49,Mendelics ,Estágio em: Logística,São Paulo - SP
50,Grupo Delta Energia,Estágio Comunicação e Marketing,São Paulo - SP
51,Geopixel,Estágio - Itapevi/ SP,Itapevi - SP
52,Lojas Renner,"Estágio em Diversidade | Afirmativa para Mulheres Cis,Trans,com deficiência e/ou Negra",São Paulo - SP
53,Jesuítas Brasil,Colégio Antônio Vieira - Estágio em Informática Educacional ,Salvador - BA
54,RL higiene ,Estágio em Marketing Analytics ,São Paulo  - SP
55,M. Dias Branco ,Estágio em Logística - Distribuição ,Salvador - BA
56,Santa Casa da Bahia,Estágio em Engenharia Mecânica,Salvador - BA
57,Yaman Tecnologia,ESTÁGIO - DEVOPS (REMOTO) ,Barueri - SP
58,Hivecloud,ESTÁGIO DE CUSTOMER SUCCESS,Recife - PE
